0 0     25.24750468037781 64.551431028681 
0 1     25.036056264567527 164.48569754858272 
0 2     25.097040163365758 264.89333771681703 
0 3     25.236528384492274 365.24156017593583 
0 4     24.833812074285685 465.472061130165 
0 5     160.0661977150848 65.12814486655736 
0 6     159.69501134209253 165.1616482865088 
0 7     159.73411777241006 264.8441051685226 
0 8     160.40314957468644 365.6724683242574 
0 9     159.90981996919152 465.0012109831766 
0 10     295.14590299596017 64.77956102433791 
0 11     295.3650045215915 165.24034975412994 
0 12     295.10660329551524 265.09496220740414 
0 13     295.076334955421 364.7242577007302 
0 14     295.3705796857925 464.7119039821204 
0 15     430.081226968357 64.83768561398053 
0 16     429.7208762350493 164.7603613402643 
0 17     430.25030318092485 265.57332820615 
0 18     430.13201140557675 364.8216958755342 
0 19     430.1921115654954 464.5252003227759 
0 20     565.3326726272817 65.14050660111641 
0 21     565.1355933868299 164.9110494633775 
0 22     565.3422878206773 265.21013929887505 
0 23     564.8242166148021 364.7632351973148 
0 24     565.4131082405638 464.58233384541086 
1 0     50.182657714055225 64.92444764261465 
1 1     50.04874873660283 164.57566872243834 
1 2     50.203673574790606 264.72045890319475 
1 3     50.21229045335404 364.86279251504897 
1 4     49.97492074574529 465.20210104188317 
1 5     184.6938672670629 64.6498152513878 
1 6     185.00969922128078 164.87825975214867 
1 7     185.0598947959948 264.7389792723689 
1 8     185.07440147811434 364.85824202036576 
1 9     185.2665959141876 464.63225282439316 
1 10     319.9191416323745 64.70119094323294 
1 11     320.1831547710877 165.09110931246363 
1 12     320.0581203372471 264.703036667868 
1 13     320.34716442301453 364.8730705004461 
1 14     320.0984676061939 465.020246712485 
1 15     454.88886158794605 64.99517907947063 
1 16     454.6295437634868 164.63296113703532 
1 17     454.87568183418506 265.28925111860343 
1 18     455.0704655156403 365.1612681477074 
1 19     455.1224959938882 464.8370434046214 
1 20     589.93043093643 65.28272175213257 
1 21     589.9948543925196 165.10464244957748 
1 22     590.0475843258369 265.4165895600713 
1 23     589.805779119676 364.89027628697335 
1 24     590.2077462777163 464.79759938195497 
2 0     75.25423392972057 64.74211188215594 
2 1     75.52854966556455 165.3666902801858 
2 2     75.31409166015463 265.31258331972225 
2 3     74.8273832577784 364.6357901317679 
2 4     75.5791608859527 464.8947451723334 
2 5     210.45246109082495 65.23534461342217 
2 6     210.28783268660032 164.9679468566341 
2 7     209.99004607827084 265.05314676999257 
2 8     209.92493740454094 364.8891956314453 
2 9     209.56510996994362 465.22504660001846 
2 10     344.92566146609437 64.7022646915351 
2 11     345.1460525910253 164.7977681741339 
2 12     344.97222080227135 264.9923507908996 
2 13     345.2511717295168 365.2448517451076 
2 14     344.7093240282593 465.16308061342363 
2 15     479.9099940288089 64.7079750550568 
2 16     480.0565060771153 165.4199982047822 
2 17     479.75272140365234 265.184113231451 
2 18     480.26586471630026 365.5689415544907 
2 19     480.06376048211035 465.2739929524784 
2 20     614.7987470425015 64.39287950232935 
2 21     615.053193069716 164.96586410581855 
2 22     614.8904541961772 265.0581560538857 
2 23     615.0788168092016 364.5556653626284 
2 24     614.652980725015 464.8305772389335 
3 0     24.8967868567402 40.14810196235947 
3 1     24.570456099486666 139.54327412913602 
3 2     24.953258388822988 239.93703664666302 
3 3     24.905853739315198 340.6177097601085 
3 4     24.941204086026072 439.9441488870871 
3 5     160.36453275977658 40.15759235330581 
3 6     159.9598693051701 140.32336273593629 
3 7     159.82817593191325 240.15395054441404 
3 8     160.18123942892848 339.75913111503894 
3 9     160.58085569883372 439.79367323948225 
3 10     295.0070645035005 40.00862537259162 
3 11     294.9494720804087 139.82676100116342 
3 12     295.2649431978475 240.0103196708303 
3 13     295.1828632430631 339.7995361110566 
3 14     295.06138437602124 440.0228837759712 
3 15     429.57018988304264 40.09170861874885 
3 16     430.2429185127052 139.94971688437263 
3 17     430.04303004903494 240.1789617438473 
3 18     429.78141286642403 339.75718493540523 
3 19     429.6587248294023 440.21762680803613 
3 20     564.4761196213772 39.63951051179596 
3 21     564.965342387402 139.96310871176587 
3 22     565.3931440670534 239.9677766752926 
3 23     564.8810897855369 340.1886215459945 
3 24     565.0394252193947 439.88045626377055 
4 0     49.872564269620234 40.22855387070313 
4 1     50.11982495815609 139.74372943543892 
4 2     49.964228791722064 240.00058772720143 
4 3     49.44656172009233 340.285950808388 
4 4     49.91959116430441 439.6914022767143 
4 5     185.18698387331182 39.978560960699326 
4 6     184.5591484831793 139.88241527118282 
4 7     185.2460690555421 240.35512909662015 
4 8     185.14330420896835 339.40455202584985 
4 9     184.87882771073944 440.3027003932816 
4 10     319.6357507984705 39.774045200955534 
4 11     320.1495827599378 139.9129065291893 
4 12     319.7256345143893 239.88529301603162 
4 13     320.3674766460977 339.9854815532349 
4 14     319.8463002451246 439.99439730646037 
4 15     454.96446645812796 39.726603745003644 
4 16     454.9330957326675 139.7889280675997 
4 17     455.02842499794764 240.1363128987146 
4 18     455.09570466168907 339.96461419775346 
4 19     455.4416781345284 440.0807807506356 
4 20     590.4480662892142 40.19099136889511 
4 21     590.201153296313 139.8319295496701 
4 22     590.2093624124343 240.0854560200304 
4 23     590.0920445279845 339.849006543572 
4 24     589.4042209568006 440.2919187948704 
5 0     75.34471501513514 40.278827248876844 
5 1     74.83989374809883 140.05436036814694 
5 2     74.85929873890568 239.72445228618324 
5 3     74.6982913081663 340.1025918259941 
5 4     75.06779048761686 440.16274968107643 
5 5     210.1261028044008 39.90771263972389 
5 6     209.59586975976546 140.61000835406088 
5 7     209.881627748619 240.00620382417011 
5 8     209.1450765024227 339.95801283022354 
5 9     210.05194216793973 440.0730782192894 
5 10     345.0894782712076 40.294560236746705 
5 11     344.5027237676684 140.22604319181988 
5 12     344.819371812175 239.96065476977816 
5 13     345.0634858206397 340.0578052166474 
5 14     345.0199507670118 439.9675175462697 
5 15     479.97577497159347 40.078085066837964 
5 16     480.1619294548638 140.1099592331252 
5 17     480.0786078461535 240.0745454978944 
5 18     480.3975400196837 340.1311066561611 
5 19     480.0297521678011 439.8235550694065 
5 20     614.7659214274963 40.12591813388126 
5 21     615.1730581722479 140.2544327800994 
5 22     615.2299319806567 239.8080352451668 
5 23     614.9013951538669 340.1989051904918 
5 24     615.2400769295733 440.1682319602055 
6 0     25.511401073929424 15.453273360171169 
6 1     24.57000883027814 114.7913027445143 
6 2     24.847008412937786 215.15392227856717 
6 3     25.1831808042089 314.7462743512954 
6 4     24.756714172401615 414.4006092105815 
6 5     160.1641992018761 14.928375038561374 
6 6     159.706473445109 114.83130911799353 
6 7     160.0883185615918 215.46815210148628 
6 8     160.25164670988786 315.48217150347267 
6 9     160.09933045339665 414.7601158884616 
6 10     295.11557081741955 14.976479715281757 
6 11     294.6379285159725 114.99471089234153 
6 12     295.2191394826544 215.01938699292367 
6 13     294.9717156516849 315.2174987537521 
6 14     294.7117651086583 415.4070477151559 
6 15     429.92104306733654 14.946935857747272 
6 16     429.90051277326444 115.03538205336056 
6 17     430.27081295641113 214.65748861776967 
6 18     430.0877273973423 314.5177578303659 
6 19     430.0577436426531 414.7095884391521 
6 20     565.0600957354726 15.259687148553455 
6 21     564.6788135243123 115.15411860471822 
6 22     565.0520337214476 215.0831842789522 
6 23     565.4525746299748 314.8590826491492 
6 24     565.4997329414065 414.61997454435374 
7 0     24.611405526857805 39.547102366402285 
7 1     24.741829082607914 140.3908186643364 
7 2     25.14413177638735 240.02462879094085 
7 3     24.964845733598832 340.0344482931372 
7 4     25.096218004268426 439.8288822740024 
7 5     160.26463347318295 39.91201607734359 
7 6     159.77485425991117 140.041886282615 
7 7     159.99089107952878 239.8238760158379 
7 8     159.95069720951872 339.98536128380607 
7 9     160.0804628739047 440.4032242806707 
7 10     294.47420682404424 39.86868726281996 
7 11     294.781275481773 140.4287175162289 
7 12     295.1410565039483 239.57683161369727 
7 13     295.35257946320354 340.05229049068527 
7 14     295.3015252651603 439.8644008352852 
7 15     429.7540439630495 39.855806492125545 
7 16     430.33278271562926 140.35997937805618 
7 17     430.0452799359929 240.0850566131406 
7 18     429.94882959614256 339.858141860022 
7 19     430.2940908930142 439.6144181161006 
7 20     564.8096171937466 39.73311276313497 
7 21     564.9343290760294 139.62086685636993 
7 22     564.8974109980635 239.84358520278988 
7 23     565.3050879025126 339.9870111124133 
7 24     565.3737108650885 439.90695008667245 
8 0     75.02869174759797 15.48737092323387 
8 1     75.0825538752562 115.21877382084445 
8 2     75.18673808629119 214.7942060846419 
